,amazon_index,filename,title,author,category_id,category,meta,year,meta_author,decade,post_2010
7516,226807401,0226807401.jpg,VAS: An Opera in Flatland: A Novel. By Steve Tomasula. Art and Design by Stephen Farrell.,Steve Tomasula,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780226807409"", ""Title"": ""VAS - An Opera In Flatland : A Novel"", ""Authors"": [""Steve Tomasula"", ""Stephen Farrell""], ""Publisher"": """", ""Year"": ""2004"", ""Language"": ""en""}",2004,Steve Tomasula,2000,pre_2010
7517,451416392,0451416392.jpg,Rita Moreno: A Memoir,Rita Moreno,1,Biographies & Memoirs,"{""ISBN-13"": ""9780451416391"", ""Title"": ""Rita Moreno - A Memoir"", ""Authors"": [""Rita Moreno""], ""Publisher"": ""Penguin"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Rita Moreno,2010,post_2010
7518,068484267X,068484267X.jpg,Angela's Ashes: A Memoir,Frank McCourt,1,Biographies & Memoirs,"{""ISBN-13"": ""9780684842677"", ""Title"": ""Angela's Ashes - A Memoir"", ""Authors"": [""Frank McCourt""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""1999"", ""Language"": ""en""}",1999,Frank McCourt,1990,pre_2010
7519,62418548,0062418548.jpg,Fall of Poppies: Stories of Love and the Great War,Heather Webb,15,Literature & Fiction,"{""ISBN-13"": ""9780062418548"", ""Title"": ""Fall Of Poppies - Stories Of Love And The Great War"", ""Authors"": [""Heather Webb"", ""Hazel Gaynor"", ""Beatriz Williams"", ""Jennifer Robson"", ""Jessica Brockmole"", ""Kate Kerrigan"", ""Evangeline Holland"", ""Lauren Willig"", ""Marci Jefferson""], ""Publisher"": ""William Morrow Paperbacks"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Heather Webb,2010,post_2010
7520,62348671,0062348671.jpg,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,15,Literature & Fiction,"{""ISBN-13"": ""9780062348685"", ""Title"": ""Simon Vs. The Homo Sapiens Agenda"", ""Authors"": [""Becky Albertalli""], ""Publisher"": ""Balzer + Bray"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Becky Albertalli,2010,post_2010
7522,786816996,0786816996.jpg,Philosophy Rocks!,Stephen Law,27,Teen & Young Adult,"{""ISBN-13"": ""9780786816996"", ""Title"": ""Philosophy Rocks!"", ""Authors"": [""Stephen Law"", ""Daniel Postgate""], ""Publisher"": ""Hyperion"", ""Year"": ""2002"", ""Language"": ""en""}",2002,Stephen Law,2000,pre_2010
7523,300158661,0300158661.jpg,Becoming Freud: The Making of a Psychoanalyst (Jewish Lives),Adam Phillips,1,Biographies & Memoirs,"{""ISBN-13"": ""9780300219838"", ""Title"": ""Becoming Freud - The Making Of A Psychoanalyst"", ""Authors"": [""Adam Phillips""], ""Publisher"": """", ""Year"": ""2016"", ""Language"": ""en""}",2016,Adam Phillips,2010,post_2010
7524,031618330X,031618330X.jpg,American Dervish: A Novel,Ayad Akhtar,15,Literature & Fiction,"{""ISBN-13"": ""9780316183307"", ""Title"": ""American Dervish - A Novel"", ""Authors"": [""Ayad Akhtar""], ""Publisher"": ""Back Bay Books"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Ayad Akhtar,2010,post_2010
7526,425277054,0425277054.jpg,Jeweled Fire: An Elemental Blessings Novel,Sharon Shinn,22,Romance,"{""ISBN-13"": ""9780593101872"", ""Title"": ""Jeweled Fire"", ""Authors"": [""Sharon Shinn""], ""Publisher"": ""Ace"", ""Year"": ""2020"", ""Language"": ""en""}",2020,Sharon Shinn,2020,post_2010
7527,60842539,0060842539.jpg,El Leon Bruja y el Ropero (Narnia) (Spanish Edition),C. S. Lewis,15,Literature & Fiction,"{""ISBN-13"": ""9780060842536"", ""Title"": ""El Leon, la Bruja y el Ropero"", ""Authors"": [""C. S. Lewis""], ""Publisher"": ""Rayo"", ""Year"": ""2005"", ""Language"": ""es""}",2005,C. S. Lewis,2000,pre_2010
7528,1439127727,1439127727.jpg,The Presidents Club: Inside the World's Most Exclusive Fraternity,Nancy Gibbs,1,Biographies & Memoirs,"{""ISBN-13"": ""9781439127728"", ""Title"": ""The Presidents Club - Inside The World's Most Exclusive Fraternity"", ""Authors"": [""Nancy Gibbs"", ""Michael Duffy""], ""Publisher"": ""Simon & Schuster"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Nancy Gibbs,2010,post_2010
7531,1455516104,1455516104.jpg,Shadows in the Vineyard: The True Story of the Plot to Poison the World's Greatest Wine,Maximillian Potter,1,Biographies & Memoirs,"{""ISBN-13"": ""9781455516094"", ""Title"": ""Shadows In The Vineyard - The True Story Of The Plot To Poison The World's Greatest Wine"", ""Authors"": [""Maximillian Potter""], ""Publisher"": ""Twelve"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Maximillian Potter,2010,post_2010
7532,199540403,0199540403.jpg,First Love and Other Stories (Oxford World's Classics),Ivan Turgenev,15,Literature & Fiction,"{""ISBN-13"": ""9780199540402"", ""Title"": ""First Love And Other Stories"", ""Authors"": [""Ivan Turgenev""], ""Publisher"": ""Oxford Paperbacks"", ""Year"": ""2008"", ""Language"": ""en""}",2008,Ivan Turgenev,2000,pre_2010
7533,1501118366,1501118366.jpg,Night Music: Nocturnes Volume 2,John Connolly,15,Literature & Fiction,"{""ISBN-13"": ""9781501118364"", ""Title"": ""Night Music - Nocturnes"", ""Authors"": [""John Connolly""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""2015"", ""Language"": ""en""}",2015,John Connolly,2010,post_2010
7534,425279588,0425279588.jpg,Copy Cap Murder: A Hat Shop Mystery,Jenn McKinlay,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780425279588"", ""Title"": ""Copy Cap Murder"", ""Authors"": [""Jenn McKinlay""], ""Publisher"": ""Berkley"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Jenn McKinlay,2010,post_2010
7535,451458443,0451458443.jpg,"Grave Peril (The Dresden Files, Book 3)",Jim Butcher,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780451458445"", ""Title"": ""Grave Peril"", ""Authors"": [""Jim Butcher""], ""Publisher"": ""Penguin"", ""Year"": ""2001"", ""Language"": ""en""}",2001,Jim Butcher,2000,pre_2010
7537,1560067233,1560067233.jpg,Taj Mahal (Building History),Myra Weatherly,27,Teen & Young Adult,"{""ISBN-13"": ""9781560067238"", ""Title"": ""The Taj Mahal"", ""Authors"": [""Myra Weatherly""], ""Publisher"": """", ""Year"": ""2003"", ""Language"": ""en""}",2003,Myra Weatherly,2000,pre_2010
7538,996650318,0996650318.jpg,The Forged Prince (The Chronicles of Tethera) (Volume 1),Michael Laird,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780996650311"", ""Title"": ""The Forged Prince"", ""Authors"": [""Michael Laird""], ""Publisher"": """", ""Year"": ""2015"", ""Language"": ""en""}",2015,Michael Laird,2010,post_2010
7539,791087921,0791087921.jpg,Contemporary Thought (Understanding Philosophy),Joan A. Price,27,Teen & Young Adult,"{""ISBN-13"": ""9780791087923"", ""Title"": ""Contemporary Thought"", ""Authors"": [""Joan A. Price""], ""Publisher"": ""Infobase Publishing"", ""Year"": ""2008"", ""Language"": ""en""}",2008,Joan A. Price,2000,pre_2010
7541,152956026,0152956026.jpg,Where the Broken Heart Still Beats: The Story of Cynthia Ann Parker,Carolyn Meyer,27,Teen & Young Adult,"{""ISBN-13"": ""9780152956028"", ""Title"": ""Where The Broken Heart Still Beats - The Story Of Cynthia Ann Parker"", ""Authors"": [""Carolyn Meyer""], ""Publisher"": ""Houghton Mifflin Harcourt"", ""Year"": ""1992"", ""Language"": ""en""}",1992,Carolyn Meyer,1990,pre_2010
7542,996097406,0996097406.jpg,A Greater Tomorrow,Julie Rowe,1,Biographies & Memoirs,"{""ISBN-13"": ""9780996097406"", ""Title"": ""A Greater Tomorrow - My Journey Beyond The Veil"", ""Authors"": [""Julie Rowe""], ""Publisher"": """", ""Year"": ""2014"", ""Language"": ""en""}",2014,Julie Rowe,2010,post_2010
7543,205184790,0205184790.jpg,"Exploring Literature: Writing and Arguing about Fiction, Poetry, Drama, and the Essay, 5th Edition",Frank Madden,15,Literature & Fiction,"{""ISBN-13"": ""9780134506586"", ""Title"": ""Exploring Literature Writing And Arguing About Fiction, Poetry, Drama, And The Essay - Books A La Carte Edition"", ""Authors"": [""Frank Madden""], ""Publisher"": """", ""Year"": ""2016"", ""Language"": ""en""}",2016,Frank Madden,2010,post_2010
7544,1497648688,1497648688.jpg,Smugglers of Gor (Gorean Saga),John Norman,22,Romance,"{""ISBN-13"": ""9781497648685"", ""Title"": ""Smugglers Of Gor"", ""Authors"": [""John Norman""], ""Publisher"": ""Open Road Media Sci-Fi & Fantasy"", ""Year"": ""2014"", ""Language"": ""en""}",2014,John Norman,2010,post_2010
7545,1552775275,1552775275.jpg,"China Clipper: Pro football's first Chinese-Canadian player, Normie Kwong (Lorimer Recordbooks)",Richard Brignall,27,Teen & Young Adult,"{""ISBN-13"": ""9781552775271"", ""Title"": ""China Clipper - Pro Football's First Chinese-Canadian Player, Normie Kwong"", ""Authors"": [""Richard Brignall""], ""Publisher"": ""Lorimer"", ""Year"": ""2010"", ""Language"": ""en""}",2010,Richard Brignall,2010,post_2010
7546,737724285,0737724285.jpg,At Issue Series - Teen Suicide (hardcover edition) (At Issue Series),John Woodward,27,Teen & Young Adult,"{""ISBN-13"": ""9780737724288"", ""Title"": ""Teen Suicide"", ""Authors"": [""John Woodward""], ""Publisher"": ""Greenhaven Press, Incorporated"", ""Year"": ""2005"", ""Language"": ""en""}",2005,John Woodward,2000,pre_2010
7547,1416509755,1416509755.jpg,"Stranger in the Moonlight (Moonlight Trilogy, Book 2)",Jude Deveraux,22,Romance,"{""ISBN-13"": ""9781416509752"", ""Title"": ""Stranger In The Moonlight"", ""Authors"": [""Jude Deveraux""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Jude Deveraux,2010,post_2010
7549,1622420829,1622420829.jpg,Millie's Second Chance [The Town of Pearl 4] (Siren Publishing Lovextreme Forever),Dixie Lynn Dwyer,22,Romance,"{""ISBN-13"": ""9781622420827"", ""Title"": ""Millie's Second Chance"", ""Authors"": [""Dixie Lynn Dwyer""], ""Publisher"": ""Siren Pub Incorporated"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Dixie Lynn Dwyer,2010,post_2010
7551,688126537,0688126537.jpg,But I'll Be Back Again,Cynthia Rylant,27,Teen & Young Adult,"{""ISBN-13"": ""9780688126537"", ""Title"": ""But I'll Be Back Again"", ""Authors"": [""Cynthia Rylant""], ""Publisher"": ""HarperCollins"", ""Year"": ""1993"", ""Language"": ""en""}",1993,Cynthia Rylant,1990,pre_2010
7552,1934137960,1934137960.jpg,"A Solemn Pleasure: To Imagine, Witness, and Write (The Art of the Essay)",Melissa Pritchard,15,Literature & Fiction,"{""ISBN-13"": ""9781934137963"", ""Title"": ""A Solemn Pleasure - To Imagine, Witness, And Write"", ""Authors"": [""Melissa Pritchard""], ""Publisher"": ""Art of the Essay"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Melissa Pritchard,2010,post_2010
7553,345335511,0345335511.jpg,Pawn of Prophecy (Belgariad),David Eddings,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780345335517"", ""Title"": ""Pawn Of Prophecy"", ""Authors"": [""David Eddings""], ""Publisher"": ""Belgariad"", ""Year"": ""1982"", ""Language"": ""en""}",1982,David Eddings,1980,pre_2010
7555,1941999441,1941999441.jpg,La luz que no puedes ver (Spanish Edition),Anthony Doerr,15,Literature & Fiction,"{""ISBN-13"": ""9781941999448"", ""Title"": ""La Luz Que No Puedes Ver"", ""Authors"": [""Anthony Doerr""], ""Publisher"": ""Suma"", ""Year"": ""2015"", ""Language"": ""es""}",2015,Anthony Doerr,2010,post_2010
7556,1590131274,1590131274.jpg,The Complete Midshipman Bolitho,Alexander Kent,15,Literature & Fiction,"{""ISBN-13"": ""9781590131275"", ""Title"": ""The Complete Midshipman Bolitho"", ""Authors"": [""Alexander Kent""], ""Publisher"": ""Bolitho Novels (Paperback)"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Alexander Kent,2000,pre_2010
7557,62292552,0062292552.jpg,Turtle Recall: The Discworld Companion. . .So Far,Terry Pratchett,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780062292551"", ""Title"": ""Turtle Recall - The Discworld Companion. . .So Far"", ""Authors"": [""Terry Pratchett"", ""Stephen Briggs""], ""Publisher"": ""Harper"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Terry Pratchett,2010,post_2010
7558,307739511,0307739511.jpg,Please Look After Mom (Vintage Contemporaries),Kyung-Sook Shin,15,Literature & Fiction,"{""ISBN-13"": ""9780307739513"", ""Title"": ""Please Look After Mom - A Novel"", ""Authors"": [""Kyung-Sook Shin"", ""Chi-Young Kim""], ""Publisher"": ""Vintage Books"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Kyung-Sook Shin,2010,post_2010
7559,1476782997,1476782997.jpg,Dirk Gently's Holistic Detective Agency,Douglas Adams,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780330301626"", ""Title"": ""Dirk Gently's Holistic Detective Agency"", ""Authors"": [""Douglas Adams""], ""Publisher"": ""Pan Macmillan"", ""Year"": ""1988"", ""Language"": ""en""}",1988,Douglas Adams,1980,pre_2010
7560,B00R55CU0G,B00R55CU0G.jpg,Highland Steel (Guardians of the Stone Book 2),Tanya Anne Crosby,22,Romance,"{""ISBN-13"": ""9781947204201"", ""Title"": ""Highland Steel"", ""Authors"": [""Tanya Anne Crosby""], ""Publisher"": """", ""Year"": ""2019"", ""Language"": ""en""}",2019,Tanya Anne Crosby,2010,post_2010
7561,1784780995,1784780995.jpg,Red Rosa: A Graphic Biography of Rosa Luxemburg,Kate Evans,1,Biographies & Memoirs,"{""ISBN-13"": ""9781784780999"", ""Title"": ""Red Rosa - A Graphic Biography Of Rosa Luxemburg"", ""Authors"": [""Kate Evans""], ""Publisher"": ""Verso Books"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Kate Evans,2010,post_2010
7562,1608180581,1608180581.jpg,The Story of the Texas Rangers (Baseball: the Great American Game),Sara Gilbert,27,Teen & Young Adult,"{""ISBN-13"": ""9780898126563"", ""Title"": ""The Story Of The Texas Rangers"", ""Authors"": [""Sara Gilbert""], ""Publisher"": ""Creative Paperbacks"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Sara Gilbert,2010,post_2010
7563,7491360,0007491360.jpg,"The Lily and the Lion (The Accursed Kings, Book 6)",Maurice Druon,15,Literature & Fiction,"{""ISBN-13"": ""9780007491360"", ""Title"": ""The Lily And The Lion"", ""Authors"": [""Maurice Druon""], ""Publisher"": ""Harper"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Maurice Druon,2010,post_2010
7564,316139246,0316139246.jpg,Catch That Pass! (Matt Christopher Sports Series),Matt Christopher,27,Teen & Young Adult,"{""ISBN-13"": ""9780316139243"", ""Title"": ""Catch That Pass!"", ""Authors"": [""Matt Christopher""], ""Publisher"": ""Little, Brown Books for Young Readers"", ""Year"": ""1989"", ""Language"": ""en""}",1989,Matt Christopher,1980,pre_2010
7565,044655393X,044655393X.jpg,The President's Shadow (The Culper Ring Series),Brad Meltzer,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780446553964"", ""Title"": ""The President's Shadow"", ""Authors"": [""Brad Meltzer""], ""Publisher"": ""Grand Central Publishing"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Brad Meltzer,2010,post_2010
7566,1400064627,1400064627.jpg,Fried Green Tomatoes at the Whistle Stop Cafe: A Novel,Fannie Flagg,15,Literature & Fiction,"{""ISBN-13"": ""9780425286555"", ""Title"": ""Fried Green Tomatoes At The Whistle Stop Cafe"", ""Authors"": [""Fannie Flagg""], ""Publisher"": ""Ballantine Books"", ""Year"": ""1987"", ""Language"": ""en""}",1987,Fannie Flagg,1980,pre_2010
7567,1502832232,1502832232.jpg,Schooled 4.0: The Teachers' Edition (Volume 4),Deena Bright,22,Romance,"{""ISBN-13"": ""9781502832238"", ""Title"": ""Schooled 4. 0 - The Teachers' Edition"", ""Authors"": [""Deena Bright""], ""Publisher"": ""Createspace Independent Publishing Platform"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Deena Bright,2010,post_2010
7568,486256642,0486256642.jpg,One Two Three . . . Infinity: Facts and Speculations of Science (Dover Books on Mathematics),George Gamow,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780486256641"", ""Title"": ""One, Two, Three-- Infinity - Facts And Speculations Of Science"", ""Authors"": [""George Gamow""], ""Publisher"": ""Courier Corporation"", ""Year"": ""1988"", ""Language"": ""en""}",1988,George Gamow,1980,pre_2010
7569,143953277X,143953277X.jpg,"Surf: Your Guide to Longboarding, Shortboarding, Tubing, Aerials, Hanging Ten, and More (Extreme Sports)",Scott Bass,27,Teen & Young Adult,"{""ISBN-13"": ""9780792251088"", ""Title"": ""Extreme Sports: Surf! - Your Guide To Longboarding, Shortboarding, Tubing, Aerials, Hanging Ten And More"", ""Authors"": [""Scott Bass""], ""Publisher"": ""National Geographic Soc Childrens books"", ""Year"": ""2003"", ""Language"": ""en""}",2003,Scott Bass,2000,pre_2010
7570,64404994,0064404994.jpg,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,15,Literature & Fiction,"{""ISBN-13"": ""9780007206100"", ""Title"": ""The Lion, The Witch And The Wardrobe"", ""Authors"": [""C. S. Lewis""], ""Publisher"": """", ""Year"": ""2005"", ""Language"": ""en""}",2005,C. S. Lewis,2000,pre_2010
7571,743270754,0743270754.jpg,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,1,Biographies & Memoirs,"{""ISBN-13"": ""9780743270755"", ""Title"": ""Team Of Rivals - The Political Genius Of Abraham Lincoln"", ""Authors"": [""Doris Kearns Goodwin""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""2006"", ""Language"": ""en""}",2006,Doris Kearns Goodwin,2000,pre_2010
7572,553391887,0553391887.jpg,Last One Home: A Novel,Debbie Macomber,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780553391909"", ""Title"": ""Last One Home"", ""Authors"": [""Debbie Macomber""], ""Publisher"": ""Ballantine Books"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Debbie Macomber,2010,post_2010
7573,451239164,0451239164.jpg,All I Did Was Shoot My Man: A Leonid McGill Mystery,Walter Mosley,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780451239167"", ""Title"": ""All I Did Was Shoot My Man"", ""Authors"": [""Walter Mosley""], ""Publisher"": ""Penguin"", ""Year"": ""2013"", ""Language"": ""en""}",2013,Walter Mosley,2010,post_2010
7574,1885865570,1885865570.jpg,The Marketplace (The Marketplace Series) (Volume 1),Laura Antoniou,22,Romance,"{""ISBN-13"": ""9780964596047"", ""Title"": ""The Marketplace"", ""Authors"": [""Laura Antoniou""], ""Publisher"": """", ""Year"": ""2000"", ""Language"": ""en""}",2000,Laura Antoniou,2000,pre_2010
7576,031294067X,031294067X.jpg,"The Sound of Thunder (Courtney Family, Book 2)",Wilbur Smith,22,Romance,"{""ISBN-13"": ""9780312940676"", ""Title"": ""The Sound Of Thunder"", ""Authors"": [""Wilbur Smith""], ""Publisher"": ""Macmillan"", ""Year"": ""2007"", ""Language"": ""en""}",2007,Wilbur Smith,2000,pre_2010
7577,1482850400,1482850400.jpg,Simran's Diary,Ishita Katyal,15,Literature & Fiction,"{""ISBN-13"": ""9781482850406"", ""Title"": ""Simran's Diary: Happy, Sad And Funny Experiences Of An 8 Year Old"", ""Authors"": [""Ishita Katyal""], ""Publisher"": ""Partridge India"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Ishita Katyal,2010,post_2010
7578,316248002,0316248002.jpg,The Mechanical (The Alchemy Wars),Ian Tregillis,17,"Mystery, Thriller & Suspense","{""ISBN-13"": ""9780316248006"", ""Title"": ""The Mechanical"", ""Authors"": [""Ian Tregillis""], ""Publisher"": ""Orbit"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Ian Tregillis,2010,post_2010
7580,1897045050,1897045050.jpg,The Cabin: A Search for Personal Sanctuary,Hap Wilson,1,Biographies & Memoirs,"{""ISBN-13"": ""9781897045053"", ""Title"": ""The Cabin - A Search For Personal Sanctuary"", ""Authors"": [""Hap Wilson""], ""Publisher"": ""Dundurn"", ""Year"": ""2005"", ""Language"": ""en""}",2005,Hap Wilson,2000,pre_2010
7581,1903436850,1903436850.jpg,Pericles (Arden Shakespeare: Third Series),William Shakespeare,15,Literature & Fiction,"{""ISBN-13"": ""9781903436851"", ""Title"": ""Pericles - Third Series"", ""Authors"": [""William Shakespeare""], ""Publisher"": ""Cengage Learning EMEA"", ""Year"": ""2004"", ""Language"": ""en""}",2004,William Shakespeare,2000,pre_2010
7582,1516891287,1516891287.jpg,Blood Of The Queen: (Series) Orc Saga: Book Two,Amalia Dillin,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9781516891283"", ""Title"": ""Blood Of The Queen - (Series) Orc Saga: Book Two"", ""Authors"": [""Amalia Dillin""], ""Publisher"": ""Createspace Independent Publishing Platform"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Amalia Dillin,2010,post_2010
7583,1936891123,1936891123.jpg,A Nasty Bit of Rough: A Novel,David Feherty,15,Literature & Fiction,"{""ISBN-13"": ""9781590710005"", ""Title"": ""A Nasty Bit Of Rough"", ""Authors"": [""David Feherty""], ""Publisher"": """", ""Year"": ""2002"", ""Language"": ""en""}",2002,David Feherty,2000,pre_2010
7584,069251368X,069251368X.jpg,Sorcha: Awaken (Volume 1),Susan Alford,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9780692513682"", ""Title"": ""Sorcha - Awaken"", ""Authors"": [""Susan Alford"", ""Lesley Smith""], ""Publisher"": """", ""Year"": ""2015"", ""Language"": ""en""}",2015,Susan Alford,2010,post_2010
7585,393351726,0393351726.jpg,Mermaids in Paradise: A Novel,Lydia Millet,15,Literature & Fiction,"{""ISBN-13"": ""9780393351729"", ""Title"": ""Mermaids In Paradise"", ""Authors"": [""Lydia Millet""], ""Publisher"": ""W. W. Norton"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Lydia Millet,2010,post_2010
7587,1844165027,1844165027.jpg,Imperial Munitorum Manual,Graham McNeill,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9781844165025"", ""Title"": ""Imperial Munitorum Manual"", ""Authors"": [""Graham McNeill""], ""Publisher"": ""Games Workshop"", ""Year"": ""2007"", ""Language"": ""en""}",2007,Graham McNeill,2000,pre_2010
7588,1598531573,1598531573.jpg,American Science Fiction: Nine Classic Novels of the 1950s,Various,24,Science Fiction & Fantasy,"{""ISBN-13"": ""9781598531572"", ""Title"": ""American Science Fiction - Nine Classic Novels Of The 1950S"", ""Authors"": [""Various""], ""Publisher"": """", ""Year"": ""2012"", ""Language"": ""en""}",2012,Various,2010,post_2010
7589,316243981,0316243981.jpg,The Twilight Saga White Collection,Stephenie Meyer,27,Teen & Young Adult,"{""ISBN-13"": ""9780316243988"", ""Title"": ""The Twilight Saga White Collection"", ""Authors"": [""Stephenie Meyer""], ""Publisher"": ""Little, Brown Books for Young Readers"", ""Year"": ""2012"", ""Language"": ""en""}",2012,Stephenie Meyer,2010,post_2010
7590,1442436271,1442436271.jpg,Oblivion: A Nevermore Book,Kelly Creagh,27,Teen & Young Adult,"{""ISBN-13"": ""9781442436282"", ""Title"": ""Oblivion - A Nevermore Book"", ""Authors"": [""Kelly Creagh""], ""Publisher"": ""Simon and Schuster"", ""Year"": ""2016"", ""Language"": ""en""}",2016,Kelly Creagh,2010,post_2010
7593,62315293,0062315293.jpg,Last Night at the Blue Angel: A Novel,Rebecca Rotert,15,Literature & Fiction,"{""ISBN-13"": ""9780062315281"", ""Title"": ""Last Night At The Blue Angel - A Novel"", ""Authors"": [""Rebecca Rotert""], ""Publisher"": ""William Morrow"", ""Year"": ""2014"", ""Language"": ""en""}",2014,Rebecca Rotert,2010,post_2010
7594,156011603,0156011603.jpg,Under the Skin: A Novel,Michel Faber,15,Literature & Fiction,"{""ISBN-13"": ""9780156011600"", ""Title"": ""Under The Skin"", ""Authors"": [""Michel Faber""], ""Publisher"": ""Houghton Mifflin Harcourt"", ""Year"": ""2001"", ""Language"": ""en""}",2001,Michel Faber,2000,pre_2010
7595,1564783790,1564783790.jpg,Three Trapped Tigers (Latin American Literature Series),Guillermo Cabrera Infante,15,Literature & Fiction,"{""ISBN-13"": ""9781564783790"", ""Title"": ""Three Trapped Tigers"", ""Authors"": [""Guillermo Cabrera Infante""], ""Publisher"": ""Dalkey Archive Press"", ""Year"": ""2004"", ""Language"": ""en""}",2004,Guillermo Cabrera Infante,2000,pre_2010
7596,1452154392,1452154392.jpg,Illustrators Annual 2015: Bologna Children's Book Fair,Bologna Children's Book Fair,27,Teen & Young Adult,"{""ISBN-13"": ""9781452154398"", ""Title"": ""Illustrators Annual 2015 - Bologna Children's Book Fair"", ""Authors"": [""Bologna Children's Book Fair""], ""Publisher"": ""Chronicle Books"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Bologna Children's Book Fair,2010,post_2010
7597,573700370,0573700370.jpg,4000 Miles,Amy Herzog,15,Literature & Fiction,"{""ISBN-13"": ""9781783195060"", ""Title"": ""4000 Miles"", ""Authors"": [""Amy Herzog""], ""Publisher"": """", ""Year"": ""2013"", ""Language"": ""en""}",2013,Amy Herzog,2010,post_2010
7598,1604530561,1604530561.jpg,Assisted Suicide (Essential Viewpoints),Lillian Forman,27,Teen & Young Adult,"{""ISBN-13"": ""9781604530568"", ""Title"": ""Assisted Suicide"", ""Authors"": [""Lillian Forman""], ""Publisher"": ""ABDO"", ""Year"": ""2008"", ""Language"": ""en""}",2008,Lillian Forman,2000,pre_2010
7600,804100039,0804100039.jpg,"If You Survive: From Normandy to the Battle of the Bulge to the End of World War II, One American Officer's Riveting True Story",George Wilson,1,Biographies & Memoirs,"{""ISBN-13"": ""9780804100038"", ""Title"": ""If You Survive"", ""Authors"": [""George Wilson""], ""Publisher"": ""Ballantine Books"", ""Year"": ""1987"", ""Language"": ""en""}",1987,George Wilson,1980,pre_2010
7603,1250041627,1250041627.jpg,"Mad, Bad, and Dangerous in Plaid: A Scandalous Highlanders Novel",Suzanne Enoch,22,Romance,"{""ISBN-13"": ""9781250041623"", ""Title"": ""Mad, Bad, And Dangerous In Plaid - A Scandalous Highlanders Novel"", ""Authors"": [""Suzanne Enoch""], ""Publisher"": ""Macmillan"", ""Year"": ""2015"", ""Language"": ""en""}",2015,Suzanne Enoch,2010,post_2010
7605,1594480117,1594480117.jpg,The Zanzibar Chest,Aidan Hartley,1,Biographies & Memoirs,"{""ISBN-13"": ""9781594480119"", ""Title"": ""The Zanzibar Chest - A Story Of Life, Love, And Death In Foreign Lands"", ""Authors"": [""Aidan Hartley""], ""Publisher"": ""Riverhead Trade (Paperbacks)"", ""Year"": ""2004"", ""Language"": ""en""}",2004,Aidan Hartley,2000,pre_2010
7606,737756837,0737756837.jpg,Marijuana (Introducing Issues With Opposing Viewpoints),Noel Merino,27,Teen & Young Adult,"{""ISBN-13"": ""9780737756838"", ""Title"": ""Marijuana"", ""Authors"": [""No\u00ebl Merino""], ""Publisher"": """", ""Year"": ""2011"", ""Language"": ""en""}",2011,Noel Merino,2010,post_2010
